,job_title,company_name,job_type,work_mode
82,Digital Marketing Specialist,"New Cairo, Cairo, Egypt",Full Time,On-site
83,Customer Success Specialist,"Cairo, Egypt",Full Time,Remote
84,Quality Assurance Specialist,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
85,Accounting Manager,"Nasr City, Cairo, Egypt",Full Time,On-site
86,Media Buyer for Canadian Law Firm (Full time),"Vancouver, Canada",Full Time,Remote
87,Inside Sales and Logistics Specialist (Manufacturing),"Maadi, Cairo, Egypt",Full Time,On-site
88,Financial Analyst,"New Cairo, Cairo, Egypt",Full Time,On-site
89,Production Manager – Detergents Industry,"Nasr City, Cairo, Egypt",Full Time,On-site
90,Purchasing Representative,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
91,Planning Supervisor,"Sharqia, Egypt",Full Time,On-site
92,Marketing Specialist / Hurghada,"Hurghada, Red Sea, Egypt",Full Time,On-site
93,Quality Assurance Specialist ( Call Center Background ),"Nasr City, Cairo, Egypt",Full Time,On-site
94,Project Control Section Head,"Agouza, Giza, Egypt",Full Time,On-site
95,Surveying Technician (Surveyor),"Cairo, Egypt",Full Time,On-site
96,Electrical Engineer (low Current),"Nasr City, Cairo, Egypt",Full Time,On-site
97,"Financial Analyst, Corporate Finance & Strategy","Katameya, Cairo, Egypt",Full Time,On-site
98,AI agent software development,"Riyadh, Saudi Arabia",Internship,Remote
99,Commercial Specialist (Data Analyst),"Nasr City, Cairo, Egypt",Full Time,On-site
100,Procurement Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
101,Store Keeper,"6th of October, Giza, Egypt",Full Time,On-site
102,Admin Assistant,"New Cairo, Cairo, Egypt",Full Time,On-site
103,Commercial Manager,"Port Said, Egypt",Full Time,On-site
104,Billing Officer ( Non Medical ),"Heliopolis, Cairo, Egypt",Full Time,On-site
105,Audit Manager - Consumer Finance,"Maadi, Cairo, Egypt",Full Time,On-site
106,Mail and Chat (B2 English Speakers) e& UAE,"Maadi, Cairo, Egypt",Full Time,On-site
107,Billing Officer,"Maadi, Cairo, Egypt",Full Time,On-site
108,Senior Cost Accountant,"Nasr City, Cairo, Egypt",Full Time,On-site
109,"Backoffice (Mail and Chat) B2 English Speakers , e&UAE","Maadi, Cairo, Egypt",Full Time,On-site
110,Business Process Analyst,"Cairo, Egypt",Full Time,On-site
111,Senior Marketing Specialist,"Obour City, Cairo, Egypt",Full Time,On-site
112,Digital Marketing Specialist,"Cairo, Egypt",Full Time,On-site
113,MS Dynamics F&O Technical Consultant,"Cairo, Egypt",Full Time,On-site
114,Fleet Manager,"Dokki, Giza, Egypt",Full Time,On-site
115,Senior Export Operations,"6th of October, Giza, Egypt",Full Time,On-site
116,Warehouse Corporate Manager,"Ameria, Alexandria, Egypt",Full Time,On-site
117,E-Commerce Specialist,"Heliopolis, Cairo, Egypt",Full Time,On-site
118,"Mail&Chat (Backoffice B2 English Speakers) E&UAE ,Grads","Maadi, Cairo, Egypt",Full Time,On-site
119,Planning Engineer,"Giza, Egypt",Full Time,On-site
120,Warehouse Specialist,"Noubaria, Beheira, Egypt",Full Time,On-site
121,Textile Engineer,"Bourj Alarab, Alexandria, Egypt",Full Time,On-site
122,Operation assistant,"Shorouk City, Cairo, Egypt",Full Time,On-site
123,Junior HR Specialist,"Obour City, Cairo, Egypt",Full Time,On-site
124,Senior Full stack Developer (.Net Core & Angular),"New Cairo, Cairo, Egypt",Full Time,Hybrid
125,Product Owner,"Maadi, Cairo, Egypt",Full Time,On-site
126,Logistics Specialist,"Smouha, Alexandria, Egypt",Full Time,On-site
127,Governmental Affairs Assistant,"Cairo, Egypt",Full Time,On-site
128,Hot End Engineer | Fresh Graduates ( Chemistry - Biology - Engineering),"Alsadat City, Monufya, Egypt",Full Time,On-site
129,Process Engineer,"6th of October, Giza, Egypt",Full Time,On-site
130,Trade Marketing Specialist,"New Cairo, Cairo, Egypt",Full Time,On-site
131,Bookkeeping Analyst I,"Faisal, Giza, Egypt",Full Time,On-site
132,Admin Branch ( Maadi - Helwan ),"New Cairo, Cairo, Egypt",Full Time,On-site
133,Dispatch & Operations Coordinator,"Cairo, Egypt",Full Time,Remote
134,Travel Agency Operations Manager,"Heliopolis, Cairo, Egypt",Full Time,On-site
135,Senior Back End Developer,"Nasr City, Cairo, Egypt",Full Time,On-site
136,Search Engine Optimization Specialist,"Smouha, Alexandria, Egypt",Full Time,On-site
137,Hot End Engineer | Sadat City,"Monufya, Egypt",Full Time,On-site
138,MEP Tendering Engineer,"Nasr City, Cairo, Egypt",Full Time,On-site
139,Junior Accountant,"Cleopatra, Alexandria, Egypt",Full Time,On-site
140,Logistic Officer,"6th of October, Giza, Egypt",Full Time,On-site
141,Senior inventory Controller,"Nasr City, Cairo, Egypt",Full Time,On-site
142,Sr. Foreign Procurement Engineer,"6th of October, Giza, Egypt",Full Time,On-site
143,Purchasing Executive,"New Cairo, Cairo, Egypt",Full Time,On-site
144,Digital Marketing Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
145,Full-Stack Developer with AI/Foundry Exposure | Azure Environment,"Nasr City, Cairo, Egypt",Full Time,Hybrid
146,Customer Service Clerk,"Alexandria, Egypt",Full Time,On-site
147,Purchasing Senior Specialist,"Obour City, Cairo, Egypt",Full Time,On-site
148,Production and Material Planning Manager,"Cairo, Egypt",Full Time,On-site
149,Warehouse Supervisor,"6th of October, Giza, Egypt",Full Time,On-site
150,Deputy Customer Service Manager ( Logistics & Shipping Background Only ),"6th of October, Giza, Egypt",Full Time,On-site
151,E commerce Product Listing Specialist,"Sheraton, Cairo, Egypt",Full Time,On-site
152,Cost Control Specialist (F&B),"New Cairo, Cairo, Egypt",Full Time,On-site
153,Accountant Manager,"Nasr City, Cairo, Egypt",Full Time,On-site
154,Senior Digital Marketing Specialist,"Maadi, Cairo, Egypt",Full Time,On-site
155,Arabic Proofreader,"Cairo, Egypt",Freelance / Project,Remote
156,AI Developer (Python),"Sheikh Zayed, Giza, Egypt",Full Time,On-site
157,Quality Control Section Head,"Belbes, Sharqia, Egypt",Full Time,On-site
158,Sales Supervisor,"New Cairo, Cairo, Egypt",Full Time,On-site
159,Media Buyer,"Sheraton, Cairo, Egypt",Full Time,On-site
160,Senior Backend Developer (Python/Django),"Shorouk City, Cairo, Egypt",Full Time,On-site
161,Payroll Specialist,"Shorouk City, Cairo, Egypt",Full Time,On-site
162,Surveyor,"New Cairo, Cairo, Egypt",Full Time,On-site
163,General Ledger Accountant,"Cairo, Egypt",Full Time,On-site
164,Data Engineer,"Heliopolis, Cairo, Egypt",Full Time,On-site
165,Production Engineer,"Mit Ghamr, Dakahlia, Egypt",Full Time,On-site
166,Microbiology Specialist,"Badr City, Cairo, Egypt",Full Time,On-site
167,Sales Coordinator,"Abdeen, Cairo, Egypt",Full Time,On-site
168,Application Development Manager,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
169,Customer Service Coordinator,"New Cairo, Cairo, Egypt",Full Time,On-site
170,Planning Manager,"Giza, Egypt",Full Time,On-site
171,Branch Manager,"Giza, Giza, Egypt",Full Time,On-site
172,Survey Engineer,"Alexandria, Egypt",Full Time,Hybrid
173,Key Account Executive,"Maadi, Cairo, Egypt",Full Time,On-site
174,Media Buyer | Saudi Company,"Cairo, Egypt",Full Time,Remote
175,Sales Coordinator,"6th of October, Giza, Egypt",Full Time,On-site
176,Admission Coordinator - Grip N' Climb Fun Park,"New Cairo, Cairo, Egypt",Full Time,On-site
177,Parts Ordering & Expediting Analyst,"Alexandria, Egypt",Full Time,On-site
178,Administrative Coordinator,"6th of October, Giza, Egypt",Full Time,On-site
179,Marketing & Product Manager,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
180,Marketing Coordinator,"Dokki, Giza, Egypt",Full Time,On-site
181,Senior Performance Marketing Executive,"Maadi, Cairo, Egypt",Full Time,On-site
182,Retail Manager,"Heliopolis, Cairo, Egypt",Full Time,On-site
183,online operations manager,"Nozha, Cairo, Egypt",Full Time,On-site
184,Senior Account Manager,"Cairo, Egypt",Full Time,On-site
185,HR Administrative Assistants,"New Cairo, Cairo, Egypt",Full Time,On-site
186,Research And Development Engineer,"Ameria, Alexandria, Egypt",Full Time,On-site
187,Accountant,"Sheraton, Cairo, Egypt",Full Time,On-site
188,Collection Supervisor,"Mokattam, Cairo, Egypt",Full Time,On-site
189,Quality Engineer,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
190,Data Entry Specialist,"Heliopolis, Cairo, Egypt",Full Time,On-site
191,Control Tower (Data Analyst),"Giza, Egypt",Full Time,On-site
192,Chief Accountant - F&B Background,"Cairo, Egypt",Full Time,On-site
193,Operation Officer,"Sheraton, Cairo, Egypt",Full Time,On-site
194,Oracle Fusion Developer,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
195,Administrative Assistant,"Haram, Giza, Egypt",Full Time,On-site
196,Senior Toll Manufacturing & Planning Specialist,"Nasr City, Cairo, Egypt",Full Time,Hybrid
197,Compensation And Benefits Manager,"6th of October, Giza, Egypt",Full Time,On-site
198,Informatica Metadata Developer,"Riyadh, Saudi Arabia",Full Time,On-site
