,job_title,company_name,job_type,work_mode
358,Warehouse Manager,"New Cairo, Cairo, Egypt",Full Time,On-site
359,Data Engineer – Analytics & AI,"Dubai, United Arab Emirates",Full Time,N/A
360,Data & AI Infrastructure Engineer,"Dubai, United Arab Emirates",Full Time,N/A
361,Data & AI Infrastructure Engineer,"Dubai, United Arab Emirates",Full Time,N/A
362,Data Entry Specialist,"Dubai, United Arab Emirates",Freelance / Project,N/A
363,Accountant,"Smart Village, Giza, Egypt",Full Time,On-site
364,Senior Data Analyst | Dubai,"Dubai, United Arab Emirates",Full Time,N/A
365,Data Entry Operator - UAEN,"Dubai, United Arab Emirates",Full Time,N/A
366,Data Insights Senior Specialist,"Riyadh, Saudi Arabia",Full Time,N/A
367,Engineer – Data Protection (m/f/d),"Dubai, United Arab Emirates",Full Time,N/A
368,Data Entry Operator,"Dubai, United Arab Emirates",Full Time,N/A
369,Data Science Manager - Riyadh,"Riyadh, Saudi Arabia",Full Time,N/A
370,Manager | Engineering AI & Data | AI & Data | AI Architect,"Riyadh, Saudi Arabia",Full Time,N/A
371,F B Cost Controller,"New Cairo, Cairo, Egypt",Full Time,On-site
372,Supply Chain Manager,"Cairo, Egypt",Full Time,On-site
373,Senior Internal Auditor,"Mokattam, Cairo, Egypt",Full Time,On-site
374,Data Protection Officer,"Dubai, United Arab Emirates",Full Time,N/A
375,Senior Data Scientist II,"Dubai, United Arab Emirates",Full Time,N/A
376,Accountant,"New Cairo, Cairo, Egypt",Full Time,On-site
377,Civil Drafting / Surveying Instructor,"Cairo, Egypt",Freelance / Project,Remote
378,Business Solutions Manager,"Sheraton, Cairo, Egypt",Full Time,On-site
379,Data Platform Architect (Brand Technical Specialist – Data Platform),"Riyadh, Saudi Arabia",Full Time,N/A
380,Senior Data Analyst - Finance,"Riyadh, Saudi Arabia",Full Time,N/A
381,Data Scientist,"Dubai, United Arab Emirates",Full Time,N/A
382,L3 Titus Data Classification Engineer (m/f/d),"Riyadh, Saudi Arabia",Full Time,N/A
383,Documentation & Data Analytics Specialist JOB,"Dubai, United Arab Emirates",Full Time,N/A
384,L2 Data Classification Engineer (Fortra Titus) (m/f/d),"Riyadh, Saudi Arabia",Full Time,N/A
385,Senior Data Engineer,"Dubai, United Arab Emirates",Full Time,N/A
386,Data Business Analyst,"Riyadh, Saudi Arabia",Full Time,N/A
387,Assistant Underwriter,"New Cairo, Cairo, Egypt",Full Time,On-site
388,Data Architect,"Dubai, United Arab Emirates",Full Time,N/A
389,Data Administrator -Immediate Start- Noya British School,"Dubai, United Arab Emirates",Full Time,N/A
390,Software Engineer (Python) - Data Platform,"Dubai, United Arab Emirates",Full Time,N/A
391,Analytics Engineer – Data Integrity & Engineering,"Dubai, United Arab Emirates",Full Time,N/A
392,Senior Data Analyst - CX,"Riyadh, Saudi Arabia",Full Time,N/A
393,Sales Development Manager - Data Center Energy Solutions (MEA),"Dubai, United Arab Emirates",Full Time,N/A
394,Supply Chain Director,"Cairo, Egypt",Full Time,On-site
395,Data Analyst (m/f/d),"Dubai, United Arab Emirates",Freelance / Project,N/A
396,Technical Advisor – Synthetic Data for Compliance Testing (m/f/d),"Riyadh, Saudi Arabia",Freelance / Project,N/A
397,Drilling Data Analyst,"Dubai, United Arab Emirates",Full Time,N/A
398,Data Analyst,"Riyadh, Saudi Arabia",Full Time,N/A
399,Chatbot Developer,"6th of October, Giza, Egypt",Full Time,Hybrid
400,ICT HOD (American division),"Maadi, Cairo, Egypt",Full Time,On-site
401,Data Privacy Manager (m/f/d),"Dubai, United Arab Emirates",Freelance / Project,N/A
402,Data Engineer,"Dubai, United Arab Emirates",Full Time,N/A
403,Data Center Expert - Saudi National,"Riyadh, Saudi Arabia",Full Time,N/A
404,Regional Solutions Architect – IT / Data Center,"Riyadh, Saudi Arabia",Full Time,N/A
405,Receptionist,"Maadi, Cairo, Egypt",Full Time,On-site
406,Stock Control Manager,"Cairo, Egypt",Full Time,On-site
407,Audit | Data Analytics | Associate | UAE National,"Dubai, United Arab Emirates",Full Time,N/A
408,QC-Senior Lab Chemist,"Shubra, Cairo, Egypt",Full Time,On-site
409,ERP supervisor,"6th of October, Giza, Egypt",Full Time,On-site
410,Continuous Improvement Engineer,"Helwan, Cairo, Egypt",Full Time,On-site
411,E-commerce Operations Supervisor – Egypt Market,"Nasr City, Cairo, Egypt",Full Time,On-site
412,Media Buyer,"Cairo, Egypt",Full Time,On-site
413,Technical Sales Specialist – Data Security,"Riyadh, Saudi Arabia",Full Time,N/A
414,Business Analyst,"Sheraton, Cairo, Egypt",Full Time,On-site
415,Automotive Logistics Manager,"6th of October, Giza, Egypt",Full Time,On-site
416,Data Analyst Graduate Program,"Dubai, United Arab Emirates",Full Time,N/A
417,Tadarab Internship Program | AI&Data,"Riyadh, Saudi Arabia",Full Time,N/A
418,Planning & Cost Control Engineer,"Nasr City, Cairo, Egypt",Full Time,On-site
419,Agricultural Engineer,"Zohour, Port Said, Egypt",Full Time,On-site
420,TareeGE Graduate Program – OT Visibility & Data Analytics,"Dubai, United Arab Emirates",Full Time,N/A
421,Manager - Data Engineering,"Dubai, United Arab Emirates",Full Time,N/A
422,E commerce Executive (operations),"Maadi, Cairo, Egypt",Full Time,On-site
423,Data Products and Services Director,"Riyadh, Saudi Arabia",Full Time,N/A
424,Data Science Consultant – Gen AI Specialist,"Riyadh, Saudi Arabia",Full Time,N/A
425,Principal (Director) Data Science Consultant Practice Lead,"Riyadh, Saudi Arabia",Full Time,N/A
426,Digital Marketing Manager,"Alexandria, Egypt",Full Time,On-site
427,Digital Account Director,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
428,Senior Data Analyst / Reporting Specialist,"Riyadh, Saudi Arabia",Full Time,N/A
429,Sales Operations Assistant Manager,"Heliopolis, Cairo, Egypt",Full Time,On-site
430,Senior Business Analyst,"Sheraton, Cairo, Egypt",Full Time,On-site
431,Production Engineer,"Bourj Alarab, Alexandria, Egypt",Full Time,On-site
432,Analyst II Data Engineering,"Riyadh, Saudi Arabia",Full Time,N/A
433,Senior Marketing Specialist,"Cairo, Egypt",Part Time,Remote
434,"Partner Sales Director – Azure, Data & AI","Dubai, United Arab Emirates",Full Time,N/A
435,Account Manager,"Garden City, Cairo, Egypt",Full Time,On-site
436,Secretary,"Cairo, Egypt",Full Time,On-site
437,Inventory Accountant,"Nasr City, Cairo, Egypt",Full Time,On-site
438,Academic Coordinator,"Madinaty, Cairo, Egypt",Full Time,On-site
439,Purchasing Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
440,Operations Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
441,Quality Control Manager,"Sheikh Zayed, Giza, Egypt",Full Time,Hybrid
442,Education Consultant - China,"Maadi, Cairo, Egypt",Full Time,On-site
443,Sales Coordinator,"Downtown, Cairo, Egypt",Full Time,Hybrid
444,E-Commerce Supervisor,"New Cairo, Cairo, Egypt",Full Time,On-site
445,Account Manager - Chain Pharmacies,"Nasr City, Cairo, Egypt",Full Time,Hybrid
446,Operations Support Internship,"Port Fuad, Port Said, Egypt",Full Time,On-site
447,Senior Business & Workforce Planning Analyst,"Mokattam, Cairo, Egypt",Full Time,On-site
448,Digital Marketing Manager,"Cairo, Egypt",Full Time,Remote
449,Chief Accountant,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
450,Warehouse Manager,"Cairo, Egypt",Full Time,On-site
451,Warehouse Keeper,"Mokattam, Cairo, Egypt",Full Time,On-site
452,Accounting and Finance Supervisor,"New Cairo, Cairo, Egypt",Full Time,On-site
453,Senior Financial Analyst,"Nasr City, Cairo, Egypt",Full Time,On-site
454,Senior Costing Analyst,"Smart Village, Giza, Egypt",Full Time,On-site
455,Accountant,"Mahta Alraml, Alexandria, Egypt",Full Time,On-site
456,E Marketing Manager,"Cairo, Egypt",Full Time,On-site
457,Quality Analyst Lead- French BPO,"Maadi, Cairo, Egypt",Full Time,On-site
458,Recruitment and OD Supervisor,"Cairo, Egypt",Full Time,On-site
459,Human Resources Specialist,"Obour City, Cairo, Egypt",Full Time,On-site
460,Senior Quantitative Analyst,"Cairo, Egypt",Full Time,Remote
461,E Commerce Specialist,"Haram, Giza, Egypt",Full Time,On-site
462,Accounting Clerk,"Ismailia, Ismailia, Egypt",Full Time,On-site
463,Costing Supervisor,"New Cairo, Cairo, Egypt",Full Time,On-site
464,Electrical Designer Engineer,"6th of October, Giza, Egypt",Full Time,On-site
465,Warehouse Section Head,"Nasr City, Cairo, Egypt",Full Time,On-site
466,Receptionist - Secretary,"New Heliopolis, Cairo, Egypt",Full Time,On-site
467,Stock Controller,"Katameya, Cairo, Egypt",Full Time,On-site
468,Claims Manager,"Katameya, Cairo, Egypt",Full Time,On-site
469,CRM Manager,"San Stefano, Alexandria, Egypt",Full Time,On-site
470,Procurement Specialist,"New Cairo, Cairo, Egypt",Full Time,On-site
471,Marketing Specialist,"Giza, Egypt",Full Time,On-site
472,SEO Specialist,"Amman, Jordan",Full Time,Remote
473,Cashier,"Hurghada, Red Sea, Egypt",Full Time,On-site
474,Chemical Engineer,"Muscat, Oman",Full Time,On-site
475,Quality Officer,"Hurghada, Red Sea, Egypt",Full Time,On-site
476,Payroll Executive (HR),"Sheikh Zayed, Giza, Egypt",Full Time,On-site
477,Customer Service Team Leader,"Sheikh Zayed, Giza, Egypt",Full Time,Hybrid
478,Production Shift Manager,"Suez, Egypt",Full Time,On-site
479,Workforce Supervisor,"Nasr City, Cairo, Egypt",Full Time,On-site
480,Production Team Leader Engineer,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
481,Category Manager,"6th of October, Giza, Egypt",Full Time,On-site
482,Ecommerce & CRM Specialist,"6th of October, Giza, Egypt",Full Time,On-site
483,E-Commerce Sales & Marketing Manager (B2B & B2C),"Salam City, Cairo, Egypt",Full Time,On-site
484,HR Administrator,"6th of October, Giza, Egypt",Full Time,On-site
485,Comp & Ben Section Head,"Ain Sokhna, Suez, Egypt",Full Time,On-site
486,Planning Supervisor,"New Cairo, Cairo, Egypt",Full Time,On-site
487,Call Center Manager - Online Flights,"Mohandessin, Giza, Egypt",Full Time,On-site
488,Supply Chain Section Head,"Dokki, Giza, Egypt",Full Time,On-site
489,Planning Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
490,Senior Sales Analyst,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
491,Human Resource Administrator,"Cairo, Egypt",Full Time,On-site
492,HR Officer - Tanta,"Tanta, Gharbia, Egypt",Full Time,On-site
493,Media Buyer,"Shorouk City, Cairo, Egypt",Full Time,On-site
494,Workflow & Performance Manager,"6th of October, Giza, Egypt",Full Time,On-site
495,Leasing Administration Supervisor,"New Cairo, Cairo, Egypt",Full Time,On-site
496,Media Buyer (Digital Marketing),"Agami, Alexandria, Egypt",Part Time,Remote
497,Call Center Agent,"Giza, Egypt",Full Time,On-site
498,Accounting Clerk,"Obour City, Cairo, Egypt",Full Time,On-site
499,Junior General Accountant,"Salam City, Cairo, Egypt",Full Time,On-site
500,Sales Force Effectiveness / Sales Analyst,"Obour City, Cairo, Egypt",Full Time,On-site
501,AI Researcher / AI Engineer,"Nasr City, Cairo, Egypt",Full Time,On-site
502,Senior Logistics Specialist,"Giza, Egypt",Full Time,On-site
503,Software Engineer,"Nasr City, Cairo, Egypt",Full Time,On-site
504,Payroll Specialist,"Sheraton, Cairo, Egypt",Full Time,On-site
505,Senior Finance ERP implementation,"Cairo, Egypt",Full Time,On-site
506,Quality Assurance Head,"Bourj Alarab, Alexandria, Egypt",Full Time,On-site
507,IT Manager Odoo Background,"New Cairo, Cairo, Egypt",Full Time,Remote
508,"Information Security Lead - Privacy, Risk & Access Management","Nasr City, Cairo, Egypt",Full Time,Hybrid
509,Conversion Rate Optimisation (CRO) Manager - Digital Trading & Creative,"Nasr City, Cairo, Egypt",Full Time,Hybrid
510,Marketing Administrator,"Mokattam, Cairo, Egypt",Full Time,On-site
511,Fleet Maintenance Manager,"Beni Suef, Beni Suef, Egypt",Full Time,On-site
512,Real Estate Researcher,"Cairo, Egypt",Full Time,Remote
513,"Cybersecurity Specialist (Governance, Risk & Compliance)","Sheraton, Cairo, Egypt",Full Time,On-site
514,Material Control Engineer,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site
515,Market Access Manager,"Zamalek, Cairo, Egypt",Full Time,On-site
516,Full Stack Developer +,"Maadi, Cairo, Egypt",Full Time,Hybrid
517,Production Engineer,"Heliopolis, Cairo, Egypt",Full Time,On-site
518,Marketing specialist,"Maadi, Cairo, Egypt",Full Time,On-site
519,Supply Chain Analyst,"Sheraton, Cairo, Egypt",Full Time,On-site
520,Industrial Engineer – Garment Factory,"Fayoum, Egypt",Full Time,On-site
521,Regional Head Of HR Shared Services (MEA),"6th of October, Giza, Egypt",Full Time,On-site
522,Cost Engineer,"Zamalek, Cairo, Egypt",Full Time,On-site
523,Junior Cost Control Engineer,"Maadi, Cairo, Egypt",Full Time,Hybrid
524,Area Sales Manager - Delta,"Monufya, Egypt",Full Time,On-site
525,Financial Analyst,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site
526,Media Buyer,"Maadi, Cairo, Egypt",Full Time,On-site
527,Sales Coordinator,"Abu Rawash, Giza, Egypt",Full Time,On-site
528,E-Commerce Senior Executive (Business Development),"Maadi, Cairo, Egypt",Full Time,On-site
529,Sales Operations Specialist,"New Cairo, Cairo, Egypt",Full Time,On-site
530,Senior Cost Control Engineer,"Cairo, Egypt",Full Time,On-site
531,Junior Back Office Specialist,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
532,Financial Reporting Accountant,"Ain Sokhna, Suez, Egypt",Full Time,On-site
533,Sales Support,"Giza, Egypt",Full Time,On-site
534,Marketer,"Riyadh, Saudi Arabia",Full Time,Remote
535,Stock Controller,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site
536,Human Resources Generalist,"Cairo, Egypt",Full Time,On-site
537,Pricing Support & Contracting Senior Specialist,"Katameya, Cairo, Egypt",Full Time,On-site
538,Finance Coordinator,"Maadi, Cairo, Egypt",Full Time,On-site
539,Digital Marketer,"New Nozha, Cairo, Egypt",Full Time,On-site
540,Production Manager For Office Furniture Factory,"Belbes, Sharqia, Egypt",Full Time,On-site
541,Senior Accountant,"Giza, Egypt",Full Time,On-site
542,Fleet Specialist - Tanta,"Tanta, Gharbia, Egypt",Full Time,On-site
543,Fleet Specialist - Giza,"Abu Rawash, Giza, Egypt",Full Time,On-site
544,Fleet Specialist - Alexandria,"Alexandria, Egypt",Full Time,On-site
545,Fleet Specialist - Cairo,"Katameya, Cairo, Egypt",Full Time,On-site
546,Budget & Reporting Supervisor,"Maadi, Cairo, Egypt",Full Time,On-site
547,Quality Engineer,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site
548,Quality Specialist,"Obour City, Cairo, Egypt",Full Time,On-site
549,Product Manager,"Makkah, Saudi Arabia",Full Time,On-site
550,Supply Chain Analyst,"New Cairo, Cairo, Egypt",Full Time,On-site
551,Senior Site Surveyor,"Giza, Egypt",Full Time,On-site
552,Junior Power BI Specialist,"Maadi, Cairo, Egypt",Full Time,Remote
553,Sales Administrator,"Nasr City, Cairo, Egypt",Full Time,On-site
554,Senior Steel Production Engineer,"6th of October, Giza, Egypt",Full Time,On-site
555,Purchase Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
556,Warehouse Supervisor,"Hurghada, Red Sea, Egypt",Full Time,On-site
557,warehouse manager,"Badr City, Cairo, Egypt",Full Time,On-site
558,Procurement Manager,"Cairo, Egypt",Full Time,On-site
559,Counter-Fraud Analyst,"Riyadh, Saudi Arabia",Full Time,N/A
560,Quality Analyst,"Dubai, United Arab Emirates",Full Time,N/A
561,C++ Engineer - Options Trading,"Dubai, United Arab Emirates",Full Time,N/A
562,F-15 Aircraft Maintenance Subject Matter Expert (SME),"Dubai, United Arab Emirates",Full Time,N/A
563,Quality Operations Coach.Regional Quality - Dammam,"Riyadh, Saudi Arabia",Full Time,N/A
564,Business Intelligence - Pricing Specialist,"Dubai, United Arab Emirates",Full Time,N/A
565,Machine Learning - Intern,"Dubai, United Arab Emirates",Freelance / Project,N/A
566,Admin cum Secretary,"Dubai, United Arab Emirates",Full Time,N/A
567,Downstream Market Analyst,"Riyadh, Saudi Arabia",Freelance / Project,N/A
568,"Analyst/Senior Analyst, Strategic Consulting","Riyadh, Saudi Arabia",Full Time,N/A
569,"Business Continuity and Resilience Analyst, GSRS","Dubai, United Arab Emirates",Full Time,N/A
570,Digital Trust & Cyber - Manager - IAM Architect,"Riyadh, Saudi Arabia",Full Time,N/A
571,Customer Experience Expert,"Riyadh, Saudi Arabia",Full Time,N/A
572,Admin Role (Jeddah),"Makkah, Saudi Arabia",Full Time,N/A
573,Guest Experience Expert (Welcome Desk Agent) - Arabic Speaker,"Dubai, United Arab Emirates",Full Time,N/A
574,Lead Marketing Analyst,"Riyadh, Saudi Arabia",Full Time,N/A
575,Guest Experience Expert - Four Point by Sheraton Bur Dubai,"Dubai, United Arab Emirates",Full Time,N/A
576,Junior Product Growth Analyst,"Dubai, United Arab Emirates",Full Time,N/A
577,Guest Experience Expert - Operator | Aloft Abu Dhabi,"Dubai, United Arab Emirates",Full Time,N/A
578,C++ Engineer - Trading,"Dubai, United Arab Emirates",Full Time,N/A
579,Parent Relations Executive,"Dubai, United Arab Emirates",Full Time,N/A
580,Registrar,"Dubai, United Arab Emirates",Full Time,N/A
581,Security Supervisor,"Riyadh, Saudi Arabia",Full Time,N/A
582,Accounting Officer - Diploma,"Makkah, Saudi Arabia",Full Time,N/A
583,AI/ML Engineer,"Dubai, United Arab Emirates",Full Time,N/A
584,Geographical Information System Engineer,"Dubai, United Arab Emirates",Full Time,N/A
585,Guest Experience Expert (Arabic Speaker),"Dubai, United Arab Emirates",Full Time,N/A
586,Temporary Admin Assistant – Alumni Project,"Ras al-Khaimah, United Arab Emirates",Part Time,N/A
587,Digital Trust & Cyber - Senior Associate - Cyber Security,"Riyadh, Saudi Arabia",Full Time,N/A
588,Project Manager ~ Banking Domain (Cybotic Systems),"Dubai, United Arab Emirates",Full Time,N/A
589,Analyst - FP&A,"Dubai, United Arab Emirates",Full Time,N/A
590,Enterprise Architecture Specialist,"Riyadh, Saudi Arabia",Full Time,N/A
591,Field Sales Manager Classifieds -Dammam,"Riyadh, Saudi Arabia",Full Time,N/A
592,Wind Analyst,"Riyadh, Saudi Arabia",Full Time,N/A
593,Radiology Technique Specialist-Riyadh-(207268),"Riyadh, Saudi Arabia",Full Time,N/A
594,Teller,"Dubai, United Arab Emirates",Full Time,N/A
595,Teller - Floater,"Dubai, United Arab Emirates",Full Time,N/A
596,Recreation Experience Expert,"Riyadh, Saudi Arabia",Full Time,N/A
597,Security Supervisor,"Riyadh, Saudi Arabia",Full Time,N/A
598,Legal Specialist,"Riyadh, Saudi Arabia",Full Time,N/A
599,Senior Finance Analyst,"Dubai, United Arab Emirates",Full Time,N/A
600,Trainee Engineer - KSA,"Riyadh, Saudi Arabia",Full Time,N/A
601,Senior Finance Analyst,"Riyadh, Saudi Arabia",Full Time,N/A
602,Pricing Strategy Analyst,"Dubai, United Arab Emirates",Full Time,N/A
603,OFFSHORE STRUCTURAL LEAD DESIGNER,"Riyadh, Saudi Arabia",Full Time,N/A
604,OFFSHORE STRUCTURAL LEAD ENGINEER,"Riyadh, Saudi Arabia",Full Time,N/A
605,Locum - Healthcare Administrator,"Dubai, United Arab Emirates",Full Time,N/A
606,Collector & Accountant,"Riyadh, Saudi Arabia",Full Time,N/A
607,PLANNING ENGINEER,"Dammam, Saudi Arabia",Full Time,On-site
608,"Consulting, Economics & Sustainability, Manager (KSA)","Riyadh, Saudi Arabia",Full Time,N/A
609,Call Center Advisor,"Dubai, United Arab Emirates",Full Time,N/A
610,Registrar JOB,"Dubai, United Arab Emirates",Full Time,N/A
611,Interface Manager,"Dubai, United Arab Emirates",Full Time,N/A
612,Security Supervisor,"Dubai, United Arab Emirates",Full Time,N/A
613,Document Controller,"Riyadh, Saudi Arabia",Full Time,On-site
614,UX Banking Consultant,"Dubai, United Arab Emirates",Full Time,N/A
615,Senior Analyst - Healthcare Analytics,"Riyadh, Saudi Arabia",Full Time,N/A
616,Quantitative Researcher,"Dubai, United Arab Emirates",Full Time,N/A
617,Compliance Officer (UAE),"Dubai, United Arab Emirates",Full Time,N/A
618,Guest Experience Expert,"Dubai, United Arab Emirates",Full Time,N/A
619,Qiwa Database Specialist,"Riyadh, Saudi Arabia",Full Time,N/A
620,Accounts Clerk,"Dubai, United Arab Emirates",Full Time,N/A
621,Assistant Professor,"Dubai, United Arab Emirates",Full Time,N/A
622,GIS Installation & Service Supervisor - Siemens Energy Saudi Arabia,"Riyadh, Saudi Arabia",Full Time,N/A
623,Analyst: Supply Chain Systems,"Dubai, United Arab Emirates",Full Time,N/A
624,Bilingual Virtual Assistant,"Riyadh, Saudi Arabia",Full Time,N/A
625,Bilingual Administrative Assistant,"Riyadh, Saudi Arabia",Full Time,N/A
626,Assistant/Associate Professor,"Dubai, United Arab Emirates",Full Time,N/A
627,CID/Call Center Agent,"Dubai, United Arab Emirates",Full Time,N/A
628,Emiratization_HR Analyst - Onboarding | Corporate Services,"Dubai, United Arab Emirates",Full Time,N/A
629,Admin & Collections Officer,"Dubai, United Arab Emirates",Full Time,N/A
630,Medical Case Officer,"Dubai, United Arab Emirates",Full Time,N/A
631,Senior Analyst - SOC Monitoring (OT Cybersecurity),"Dubai, United Arab Emirates",Full Time,N/A
632,Analyst - SOC Monitoring (OT Cybersecurity),"Dubai, United Arab Emirates",Full Time,N/A
633,Evaluation Specialist - Transport Sector,"Riyadh, Saudi Arabia",Freelance / Project,N/A
634,Regional Technical Marketing Non-Structural,"Dubai, United Arab Emirates",Full Time,N/A
635,AI-First Digital Marketing Intern (Build an AI-native global brand in Dubai),"Dubai, United Arab Emirates",Full Time,N/A
636,AI-First Digital Marketing Intern,"Dubai, United Arab Emirates",Full Time,N/A
637,Medical Science Liaison,"Riyadh, Saudi Arabia",Full Time,N/A
638,Legal Specialist - Litigation & Contracts,"Riyadh, Saudi Arabia",Freelance / Project,N/A
639,3) Product Owner,"Nasr City, Cairo, Egypt",Full Time,Hybrid
640,Urban Planner,"Riyadh, Saudi Arabia",Full Time,N/A
641,Automation Specialist,"New Cairo, Cairo, Egypt",Full Time,Hybrid
642,HR Operations Supervisor,"Cairo, Egypt",Full Time,On-site
643,Guest Experience Expert (Arabic/ Russian Speaker)- Front Desk,"Dubai, United Arab Emirates",Full Time,N/A
644,Project Manager ~ Banking Domain (Cybotic Systems) - Super Bytes,"Dubai, United Arab Emirates",Full Time,N/A
645,Guest Experience Expert (Guest Relations Agent),"Dubai, United Arab Emirates",Full Time,N/A
646,Call Center Representative-Patient Access,"Dubai, United Arab Emirates",Full Time,N/A
647,Business Intelligence Expert,"Riyadh, Saudi Arabia",Full Time,N/A
648,Business Intelligence Expert,"Riyadh, Saudi Arabia",Full Time,N/A
649,HR Manager,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
650,SAP ABAP Senior Developer,"Riyadh, Saudi Arabia",Full Time,N/A
651,Senior Quality Engineer,"Maadi, Cairo, Egypt",Full Time,On-site
652,Marketing Specialist,"Mokattam, Cairo, Egypt",Full Time,On-site
653,Microsoft Dynamics 365 CRM Senior Specialist,"Maadi, Cairo, Egypt",Full Time,Remote
654,"Manager, Trust Ops & Lease Receivable Finance.OPS - Trust Account Management.Operations Group","Dubai, United Arab Emirates",Full Time,N/A
655,IT Sales Systems Support Specialist,"Smouha, Alexandria, Egypt",Full Time,On-site
656,Guest Experience Expert (UAE National),"Dubai, United Arab Emirates",Full Time,N/A
657,Analyst - Credit and Collections,"Makkah, Saudi Arabia",Full Time,N/A
658,Senior Laravel Backend Developer - ERP Systems Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
659,Security Expert - Saudi National,"Riyadh, Saudi Arabia",Full Time,N/A
660,Contact Center Trainer,"Riyadh, Saudi Arabia",Full Time,N/A
661,IT Network & Infrastructure Supervisor,"Maadi, Cairo, Egypt",Full Time,On-site
662,"Senior Analyst - BCG Vantage, CFO Excellence","Riyadh, Saudi Arabia",Full Time,N/A
663,BIM Document Controller,"Heliopolis, Cairo, Egypt",Full Time,On-site
664,Analyst-Quality,"Riyadh, Saudi Arabia",Full Time,N/A
665,System Administrator,"Heliopolis, Cairo, Egypt",Full Time,On-site
666,Quality control,"Nasr City, Cairo, Egypt",Full Time,On-site
667,Field Service and Instrumentation Engineer,"Hadayek Alahram, Giza, Egypt",Full Time,On-site
668,Futures Affiliate Manager (APAC / MENA),"Dubai, United Arab Emirates",Full Time,N/A
669,Supply Chain & Purchasing manager,"New Cairo, Cairo, Egypt",Full Time,On-site
670,UI UX Designer,"New Cairo, Cairo, Egypt",Full Time,On-site
671,Senior Database Administrator,"Sheikh Zayed, Giza, Egypt",Full Time,Hybrid
672,GM Assistant,"6th of October, Giza, Egypt",Full Time,On-site
673,Software Tester & Technical Support,"New Cairo, Cairo, Egypt",Full Time,Remote
674,CE Mark Medical Devices Manager,"Bourj Alarab, Alexandria, Egypt",Full Time,On-site
675,"On-Prem to Cloud, Sales Specialist","Riyadh, Saudi Arabia",Full Time,N/A
676,Digital Marketing Analyst(Remote),"Dubai, United Arab Emirates",Full Time,Remote
677,Civil Engineer,"Katameya, Cairo, Egypt",Full Time,On-site
678,"HR Coordinator/ Citizens School, Dubai, UAE","Dubai, United Arab Emirates",Full Time,N/A
679,Treasury Assistant officer/ Officer,"New Cairo, Cairo, Egypt",Full Time,On-site
680,B2B Software Sales Executive,"Maadi, Cairo, Egypt",Full Time,On-site
681,Customer Experience Lead,"Riyadh, Saudi Arabia",Full Time,N/A
682,Senior Full Stack Developer,"Cairo, Egypt",Full Time,On-site
683,Director of Growth (Based in Saudi Arabia),"Riyadh, Saudi Arabia",Full Time,N/A
684,Organization Development & Recruitment Specialist,"Abdeen, Cairo, Egypt",Full Time,On-site
685,Retention Marketing Consultant,"Cairo, Egypt",Full Time,Remote
686,AI Automation Engineer,"Cairo, Egypt",Full Time,Remote
687,Distribution Manager,"Cairo, Egypt",Full Time,On-site
688,Database Administrator,"Maadi, Cairo, Egypt",Full Time,On-site
689,Front-End Developer,"Maadi, Cairo, Egypt",Full Time,Remote
690,Medical Digitization Officer (Pharmacists) - out of Cairo & Giza Residents,"Maadi, Cairo, Egypt",Full Time,Remote
691,Document Verification and Compliance Officer,"Nasr City, Cairo, Egypt",Full Time,On-site
692,Sales Coordinator,"Sheraton, Cairo, Egypt",Full Time,On-site
693,Senior Digital Solutions Engineer,"Cairo, Egypt",Full Time,On-site
694,Production Chemist,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
695,Senior HR Generalist,"Mohandessin, Giza, Egypt",Full Time,Remote
696,Intelligent Automation Developer - UiPath,"Riyadh, Saudi Arabia",Full Time,N/A
697,Senior AI Developer,"Mansoura, Dakahlia, Egypt",Full Time,On-site
698,Payroll Specialist,"Obour City, Cairo, Egypt",Full Time,On-site
699,Search Engine Evaluator,"Dubai, United Arab Emirates",Full Time,N/A
700,Head of IT & Digital Transformation Department,"Nasr City, Cairo, Egypt",Full Time,On-site
701,Secretary of Emergency Department,"New Nozha, Cairo, Egypt",Full Time,On-site
702,Talent Management Section Head,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
703,E Commerce Specialist,"Heliopolis, Cairo, Egypt",Full Time,On-site
704,Cost Accountant,"Obour City, Cairo, Egypt",Full Time,On-site
705,Product Lifecycle Management (PLM) Engineer,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site
706,E Commerce Specialist,"Dokki, Giza, Egypt",Full Time,On-site
707,Organizational Performance Analyst,"Giza, Egypt",Full Time,On-site
